OBJECTID;COUNTRY;NAME;N_TURBINES;POWER_MW;STATUS;YEAR;COAST_DIST_M;NOTES
1184;Sweden;Oland-Hoburg I;;600;Planned;;36646,38753; 
1185;Sweden;Oland-Hoburg II;;750;Planned;;82114,1615; 
1186;Sweden;Oland-Hoburg III;;750;Planned;;42454,71312; 
1187;Sweden;Oxelösund;;600;Planned;;12931,72604; 
1188;Sweden;Pleione;;;Planned;;35162,20146; 
1189;Sweden;Ran;;1800;Planned;;16852,64149; 
1190;Sweden;Simpevar;;800;Planned;;13720,64402; 
1191;Sweden;Skagerrak Offshore Gamma;;2740;Planned;;47595,15782; 
1192;Sweden;Slite;;600;Planned;;16852,64149; 
1193;Sweden;Sotenäs Offshore Park;;10;Planned;;2895,272704; 
1194;Sweden;Sundsvall;;1200;Planned;;20658,94687; 
1195;Sweden;Väktaren;;;Planned;;4731,680313; 
1196;United Kingdom;BP Alternative Energy Investments (INTOG);;50;Planned;;35184,31592; 
1197;United Kingdom;Cedar;;1008;Planned;;159286,2044; 
1198;United Kingdom;Culzean Floating Wind Pilot Project;;3;Planned;;221266,3143; 
1199;United Kingdom;Harbour Energy North (INTOG);;15;Planned;;45857,65865; 
1200;United Kingdom;Harbour Energy South (INTOG);;99,45;Planned;;64500,74174; 
1201;United Kingdom;Muir Mhor;;798;Planned;;73096,1972; 
1202;United Kingdom;Scaraben;;99,45;Planned;;64500,74174; 
1203;United Kingdom;Sealtainn;;500;Planned;;38768,98; 
1204;United Kingdom;SENSE Wind Pelastar Full-Scale Prototype;;15;Planned;;13953,97071; 
1205;United Kingdom;Sinclair;;99,45;Planned;;68323,64536; 
