OBJECTID;COUNTRY;NAME;N_TURBINES;POWER_MW;STATUS;YEAR;COAST_DIST_M;AREA_SQKM;NOTES;Shape_Length;Shape_Area
796;United Kingdom; ;;2000;Approved;2022;93215,22855;859,8729403; ;1,774414208;0,128105494
797;United Kingdom; ;;798;Approved;2022;62863,16184;199,8755532; ;0,75067669;0,029861689
798;United Kingdom; ;;1008;Approved;2022;38410,92015;187,0845829; ;0,89178748;0,027625745
799;United Kingdom; ;;1008;Approved;2022;17230,85017;199,7368767; ;1,38314575;0,031073324
800;United Kingdom; ;;1000;Approved;2022;36900,43809;256,3016266; ;0,861862764;0,039473526
801;United Kingdom; ;;1000;Approved;2022;23311,17429;428,951268; ;1,201315177;0,06548829
802;United Kingdom; ;;500;Approved;2022;47477,53653;134,0560638; ;0,618858372;0,020447472
803;United Kingdom; ;;3000;Approved;2022;75714,70353;683,9885083; ;1,375839974;0,104323326
804;United Kingdom; ;;960;Approved;2022;74920,31679;330,6956383; ;0,958332321;0,050810197
805;United Kingdom; ;;2000;Approved;2022;4746,595093;656,5789506; ;1,570481373;0,102300202
806;United Kingdom; ;;1500;Approved;2022;26071,1652;389,6074534; ;1,407979382;0,060663484
807;United Kingdom; ;;495;Approved;2022;25206,43209;103,093599; ;0,554988172;0,016007226
808;United Kingdom; ;;840;Approved;2022;3564,138458;161,4163955; ;0,832381651;0,024771895
809;United Kingdom; ;;2000;Approved;2022;0;753,7458054; ;1,331892967;0,108540491
810;United Kingdom;W1;;;Planned;2020;0;753,7458064; ;1,331892967;0,108540491
811;United Kingdom;NE6;;;Planned;2020;33343,91374;698,6331973; ;1,425758511;0,106249237
812;United Kingdom;NE7;;;Planned;2020;75714,70353;683,9888331; ;1,375839972;0,104323326
813;United Kingdom;NE4;;;Planned;2021;22289,75252;441,6787645; ;1,232912822;0,067437763
814;United Kingdom;NE3;;;Planned;2020;36890,74902;264,507022; ;0,817893004;0,04074235
815;United Kingdom;NE2;;;Planned;2020;11200,92412;345,2042839; ;1,373264111;0,053698762
